method,dataset,num_sections,pixel_accuracy,mean_class_accuracy,mean_iou,frequency_weighted_iou,reverse_transition_rate,vtpm_frobenius_to_target,vtpm_mse_to_target,num_pixels,num_transitions,num_traces
Baseline,test1,3,0.8759326079456985,0.8099202226783503,0.6811669476326278,0.7828873673164131,0.004028740344689439,0.07899652615578746,0.00017334586513005593,536265,534162,2103
Baseline,test2,3,0.9194001283264276,0.6848621109186651,0.6084299504813749,0.8593096787221481,0.0017162996056441363,0.05475336537204884,8.327586165458547e-05,459765,457962,1803
Baseline,overall,6,0.8959971085208277,0.767549560365719,0.675129019989838,0.8163387679866486,0.0029613233829642264,0.06108764995892832,0.00010365836048623762,996030,992124,3906
DGCNN,test1,3,0.9148909587610603,0.8656143900937425,0.7701264486743108,0.8458034558344006,0.006662772716891131,0.09830914243159358,0.0002684635412676488,536265,534162,2103
DGCNN,test2,3,0.9190281991887159,0.7021399877840834,0.6074967845439962,0.862957710245299,0.004637939392351331,0.11595052873446696,0.0003734590309389569,459765,457962,1803
DGCNN,overall,6,0.9168006987741333,0.8053940748663982,0.7224091318887993,0.8516836858946206,0.005728114630832436,0.10111135520434172,0.00028398628197940447,996030,992124,3906
SegFormer,test1,3,0.8926314415447587,0.8421586906881955,0.7298178779709655,0.8130537576670466,0.002179114201309715,0.02549831212963288,1.8060108929449536e-05,536265,534162,2103
SegFormer,test2,3,0.9189194479788587,0.6859319994261389,0.6101462981042983,0.8581164882509252,0.0015350618610277709,0.038058732714203215,4.0235198216976724e-05,459765,457962,1803
SegFormer,overall,6,0.9047659207051997,0.7831977966099504,0.6880409014010986,0.8318295285565587,0.0018818212239599082,0.02762381493791357,2.1196531992336026e-05,996030,992124,3906
U-Net,test1,3,0.8751867080641101,0.7764726173762995,0.6793221324287654,0.7787904507698895,0.00315260164519378,0.07562507054465266,0.00015886531374676918,536265,534162,2103
U-Net,test2,3,0.9103911781018564,0.6583955596946635,0.5835359588910057,0.8396107288503116,0.0016660770980998425,0.04369682672260462,5.303924071181482e-05,459765,457962,1803
U-Net,overall,6,0.8914370049094906,0.736189809248582,0.6573415870159965,0.805735937903211,0.0024664255677717705,0.05983120279390432,9.943813410459176e-05,996030,992124,3906
MC-Net,test1,3,0.9594305054404073,0.947656868504124,0.8870102194938666,0.9241679124778888,0.0015238822679262097,0.014465885213676522,5.812828750424029e-06,536265,534162,2103
MC-Net,test2,3,0.9426728872358705,0.7838480787416094,0.7410911451621587,0.8916020504506152,0.0004891235517357335,0.03199029985546487,2.8427202356737663e-05,459765,457962,1803
MC-Net,overall,6,0.9516952300633515,0.8771021654812513,0.8285613831290756,0.9090452006056255,0.0010462401877184707,0.01579440114288311,6.929530762841871e-06,996030,992124,3906
