method,dataset,section_index,pixel_accuracy,mean_class_accuracy,mean_iou,frequency_weighted_iou,reverse_transition_rate,vtpm_frobenius_to_target,vtpm_mse_to_target,num_pixels,num_transitions,num_traces
Baseline,test1,0,0.8055047411261224,0.6849466369268963,0.5384444434722009,0.7013638094439346,0.0055601109775686025,0.11486528831042868,0.00036650095718438613,178755,178054,701
Baseline,test1,99,0.8346116192554054,0.7413638669950515,0.6329605754139224,0.7104752043989649,0.00580161074730138,0.13435784279074786,0.0005014452755384255,178755,178054,701
Baseline,test1,199,0.9876814634555677,0.9817280978255408,0.9626426558304749,0.9758065991047771,0.000724499309198333,0.008823489034740522,2.162609965171839e-06,178755,178054,701
Baseline,test2,0,0.947929920720368,0.8035144575036753,0.7296430812212181,0.9095482766157471,0.0015787336067184614,0.05317110124389605,7.853238909690677e-05,153255,152654,601
Baseline,test2,99,0.9555707807249356,0.9031670388600783,0.6856103381538453,0.9361334135224466,0.0014477183696463899,0.05551677136082053,8.561421950915618e-05,153255,152654,601
Baseline,test2,199,0.8546996835339793,0.6103643785152645,0.4372958601191195,0.7413128085996276,0.002122446840567558,0.5351551124175365,0.007955305398517392,153255,152654,601
DGCNN,test1,0,0.8695141394646304,0.8461992033114755,0.6554879580681271,0.7797719175585945,0.00923315398699271,0.14328319432088713,0.0005702798270776972,178755,178054,701
DGCNN,test1,99,0.9056865542222595,0.8804849434174852,0.7828438696878504,0.8273525106993334,0.008182910802340864,0.09670591386618367,0.00025977871601927046,178755,178054,701
DGCNN,test1,199,0.969472182596291,0.9030832041436135,0.8744758126516136,0.9409288244334624,0.0025722533613398183,0.08964955090062625,0.00022325116601899935,178755,178054,701
DGCNN,test2,0,0.9366023947016411,0.7812105430459456,0.7048213165790361,0.8950700464345571,0.005207855673614842,0.09135942837822668,0.00023184847648878695,153255,152654,601
DGCNN,test2,99,0.9689471795373723,0.9522381935974819,0.6110879548040582,0.9490238910850816,0.0014084137985247685,0.6364969793377229,0.011253566797390153,153255,152654,601
DGCNN,test2,199,0.8515350233271345,0.6158917953165044,0.4515634513787899,0.7600952432866149,0.007297548704914381,0.7764409936594558,0.016746128239857865,153255,152654,601
SegFormer,test1,0,0.8270761657016586,0.7211474029691112,0.5690763370305464,0.7171632262607611,0.004139193727745515,0.11247073814625604,0.00035137963719899146,178755,178054,701
SegFormer,test1,99,0.881681631283041,0.8550935372812352,0.7222934996722966,0.7995135457016421,0.0017635099464207488,0.033947052981923985,3.2011177948820944e-05,178755,178054,701
SegFormer,test1,199,0.9691365276495763,0.9221523486329163,0.8866215808264307,0.9414282045980039,0.0006346389297628809,0.00941361956349184,2.4615620357265636e-06,178755,178054,701
SegFormer,test2,0,0.941352647548204,0.7695804836655853,0.7027512195052675,0.8999805989507272,0.001414964560378372,0.02367054270017705,1.5563738658914033e-05,153255,152654,601
SegFormer,test2,99,0.973482104988418,0.7878656128723595,0.624782728219757,0.9532809377406362,0.0003602919019481966,1.1070907807023398,0.03404583324211434,153255,152654,601
SegFormer,test2,199,0.8419235913999543,0.6390892648860891,0.46502786247093764,0.7384054263643436,0.002829929120756744,0.9089184321263503,0.022948131007195074,153255,152654,601
U-Net,test1,0,0.8314396800089507,0.726107176666246,0.5879621476507021,0.7156398193223744,0.003566333808844508,0.16612983439258866,0.000766642274314137,178755,178054,701
U-Net,test1,99,0.8310089228273335,0.7005110408581978,0.5974037457182735,0.7067663123707552,0.003875228863153875,0.05913084830215457,9.712381169256713e-05,178755,178054,701
U-Net,test1,199,0.9631115213560459,0.9139003097618018,0.8714476457836686,0.9304963438032178,0.002016242263582958,0.05774611496653034,9.262816093688165e-05,178755,178054,701
U-Net,test2,0,0.9194675540765391,0.7524470650010827,0.6778000552356227,0.8615888888993524,0.002829929120756744,0.042016376411789666,4.9038219077144304e-05,153255,152654,601
U-Net,test2,99,0.968536099964112,0.9420319663976295,0.73019834546234,0.9476356795952252,0.0012053401810630576,0.0627382644332296,0.00010933582844705122,153255,152654,601
U-Net,test2,199,0.8431698802649179,0.566022145567872,0.48038874181787417,0.7218913357457691,0.0009629619924797254,1.0003157797197646,0.02779532386545445,153255,152654,601
MC-Net,test1,0,0.9269502950966406,0.8996618732942162,0.7945032043385011,0.8717529418782964,0.002948543700225774,0.03872192001127848,4.1649641371106914e-05,178755,178054,701
MC-Net,test1,99,0.969992447763699,0.9586477926190297,0.9116902934806369,0.9427419195361195,0.001055859458366563,0.010064076354170845,2.8134898017383535e-06,178755,178054,701
MC-Net,test1,199,0.9813487734608822,0.9717985341867338,0.9414942240739982,0.963817859002468,0.0005672436451862918,0.008122936284179236,1.8328359410232105e-06,178755,178054,701
MC-Net,test2,0,0.9799354017813449,0.9265873552998994,0.8822441780473365,0.9617373630104086,0.0005895685668243217,0.033545391947679165,3.12581478034283e-05,153255,152654,601
MC-Net,test2,99,0.9895076832729764,0.9860094402255386,0.8600911373290195,0.9797932116357768,0.00031443656897297157,0.010901363381880911,3.301103432883723e-06,153255,152654,601
MC-Net,test2,199,0.8585755766532903,0.5870694121201271,0.4342342772684528,0.744321239381163,0.0005633655194099074,0.7747254598047287,0.01667220939082357,153255,152654,601
