variant,loss,use_ell,use_vtpm,dataset,pixel_accuracy,mean_class_accuracy,mean_iou,frequency_weighted_iou,reverse_transition_rate,vtpm_frobenius_to_target,vtpm_mse_to_target,num_pixels,num_transitions
baseline,CE,False,False,test1,0.8015522363010825,0.681397694221816,0.5334521610129715,0.6854369694651637,0.01898410032911364,0.3251854774633226,0.0029373776320291414,35751000,35610800
baseline,CE,False,False,test2,0.8766973671332093,0.632491616123357,0.5004848849181288,0.8116561360408409,0.010060987592857049,0.3667025500715896,0.0037352988952501854,30651000,30530800
baseline,CE,False,False,overall,0.8362390440046986,0.6644802882159889,0.5396463072603818,0.7382124942613684,0.014865213420903032,0.33556909531447177,0.003127961603615918,66402000,66141600
ell,ELL,True,False,test1,0.814245335794803,0.6728446119562869,0.5473068969132004,0.6896074069369805,0.012648381951542791,0.3881063832588588,0.004184071242396451,35751000,35610800
ell,ELL,True,False,test2,0.883507226517895,0.5911554275825275,0.5009396874905748,0.8018292725750704,0.008466663172927012,0.3173208488305124,0.0027970144750699144,30651000,30530800
ell,ELL,True,False,overall,0.846216454323665,0.6591167284838361,0.5546213698349122,0.7363775331479779,0.010718110840983586,0.33682639042990764,0.003151444924723349,66402000,66141600
vtpm,CE+VTPM,False,True,test1,0.7406826382478812,0.6361483787976233,0.4759826191639763,0.5949715961827357,0.013294393835577971,0.2647262709387667,0.0019466666256984812,35751000,35610800
vtpm,CE+VTPM,False,True,test2,0.8731043685361,0.5953342972697501,0.49327680055618034,0.7871336150566695,0.007494923159563458,0.27277722928404885,0.0020668726893300713,30651000,30530800
vtpm,CE+VTPM,False,True,overall,0.8018081834884492,0.6279181154534481,0.49822381076258937,0.6756792653881392,0.01061737242522104,0.2650170429297567,0.0019509453623120143,66402000,66141600
full,ELL+VTPM,True,True,test1,0.7729127856563452,0.6465026454839804,0.5016977907709227,0.6347431649111888,0.010507542655598863,0.31960287963744244,0.002837388907570708,35751000,35610800
full,ELL+VTPM,True,True,test2,0.8821009754983524,0.5779280610605674,0.4958649925900853,0.7972176840827379,0.005615902629475808,0.25168611040305267,0.0017596082824949339,30651000,30530800
full,ELL+VTPM,True,True,overall,0.8233137857293455,0.6391114046764884,0.5226628206710512,0.7033717549450172,0.008249573642004427,0.29462323741729196,0.0024111903340623886,66402000,66141600
